input,target
"""1 1 1 0 0 4 1 6 'unir' 1 ""","""Algoritmo conversion Escribir 'unir' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'item' 1 ""","""Algoritmo conversion Escribir 'item' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'ruta' 1 ""","""Algoritmo conversion Escribir 'ruta' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'host' 1 ""","""Algoritmo conversion Escribir 'host' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'hash' 1 ""","""Algoritmo conversion Escribir 'hash' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'byte' 1 ""","""Algoritmo conversion Escribir 'byte' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'nulo' 1 ""","""Algoritmo conversion Escribir 'nulo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'hilo' 1 ""","""Algoritmo conversion Escribir 'hilo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'cola' 1 ""","""Algoritmo conversion Escribir 'cola' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'count' 1 ""","""Algoritmo conversion Escribir 'count' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'index' 1 ""","""Algoritmo conversion Escribir 'index' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'total' 1 ""","""Algoritmo conversion Escribir 'total' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'value' 1 ""","""Algoritmo conversion Escribir 'value' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'input' 1 ""","""Algoritmo conversion Escribir 'input' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'email' 1 ""","""Algoritmo conversion Escribir 'email' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'width' 1 ""","""Algoritmo conversion Escribir 'width' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'depth' 1 ""","""Algoritmo conversion Escribir 'depth' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'speed' 1 ""","""Algoritmo conversion Escribir 'speed' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'price' 1 ""","""Algoritmo conversion Escribir 'price' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'limit' 1 ""","""Algoritmo conversion Escribir 'limit' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'range' 1 ""","""Algoritmo conversion Escribir 'range' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'ratio' 1 ""","""Algoritmo conversion Escribir 'ratio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'array' 1 ""","""Algoritmo conversion Escribir 'array' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'queue' 1 ""","""Algoritmo conversion Escribir 'queue' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'stack' 1 ""","""Algoritmo conversion Escribir 'stack' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'graph' 1 ""","""Algoritmo conversion Escribir 'graph' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'level' 1 ""","""Algoritmo conversion Escribir 'level' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'depth' 1 ""","""Algoritmo conversion Escribir 'depth' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'child' 1 ""","""Algoritmo conversion Escribir 'child' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'class' 1 ""","""Algoritmo conversion Escribir 'class' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'event' 1 ""","""Algoritmo conversion Escribir 'event' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'state' 1 ""","""Algoritmo conversion Escribir 'state' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'scope' 1 ""","""Algoritmo conversion Escribir 'scope' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'query' 1 ""","""Algoritmo conversion Escribir 'query' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'order' 1 ""","""Algoritmo conversion Escribir 'order' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'group' 1 ""","""Algoritmo conversion Escribir 'group' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'union' 1 ""","""Algoritmo conversion Escribir 'union' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'entry' 1 ""","""Algoritmo conversion Escribir 'entry' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'field' 1 ""","""Algoritmo conversion Escribir 'field' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'value' 1 ""","""Algoritmo conversion Escribir 'value' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'tuple' 1 ""","""Algoritmo conversion Escribir 'tuple' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'cache' 1 ""","""Algoritmo conversion Escribir 'cache' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'token' 1 ""","""Algoritmo conversion Escribir 'token' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'regex' 1 ""","""Algoritmo conversion Escribir 'regex' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'float' 1 ""","""Algoritmo conversion Escribir 'float' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'false' 1 ""","""Algoritmo conversion Escribir 'false' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'local' 1 ""","""Algoritmo conversion Escribir 'local' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'queue' 1 ""","""Algoritmo conversion Escribir 'queue' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'timer' 1 ""","""Algoritmo conversion Escribir 'timer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'delay' 1 ""","""Algoritmo conversion Escribir 'delay' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'total' 1 ""","""Algoritmo conversion Escribir 'total' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'datos' 1 ""","""Algoritmo conversion Escribir 'datos' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'valor' 1 ""","""Algoritmo conversion Escribir 'valor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'ancho' 1 ""","""Algoritmo conversion Escribir 'ancho' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'radio' 1 ""","""Algoritmo conversion Escribir 'radio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'fecha' 1 ""","""Algoritmo conversion Escribir 'fecha' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'costo' 1 ""","""Algoritmo conversion Escribir 'costo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'monto' 1 ""","""Algoritmo conversion Escribir 'monto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'saldo' 1 ""","""Algoritmo conversion Escribir 'saldo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'rango' 1 ""","""Algoritmo conversion Escribir 'rango' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'ratio' 1 ""","""Algoritmo conversion Escribir 'ratio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'lista' 1 ""","""Algoritmo conversion Escribir 'lista' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'arbol' 1 ""","""Algoritmo conversion Escribir 'arbol' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'grafo' 1 ""","""Algoritmo conversion Escribir 'grafo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'nivel' 1 ""","""Algoritmo conversion Escribir 'nivel' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'padre' 1 ""","""Algoritmo conversion Escribir 'padre' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'clase' 1 ""","""Algoritmo conversion Escribir 'clase' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'orden' 1 ""","""Algoritmo conversion Escribir 'orden' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'grupo' 1 ""","""Algoritmo conversion Escribir 'grupo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'union' 1 ""","""Algoritmo conversion Escribir 'union' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'campo' 1 ""","""Algoritmo conversion Escribir 'campo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'clave' 1 ""","""Algoritmo conversion Escribir 'clave' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'valor' 1 ""","""Algoritmo conversion Escribir 'valor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'tupla' 1 ""","""Algoritmo conversion Escribir 'tupla' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'flujo' 1 ""","""Algoritmo conversion Escribir 'flujo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'cache' 1 ""","""Algoritmo conversion Escribir 'cache' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'disco' 1 ""","""Algoritmo conversion Escribir 'disco' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'token' 1 ""","""Algoritmo conversion Escribir 'token' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'clave' 1 ""","""Algoritmo conversion Escribir 'clave' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'regex' 1 ""","""Algoritmo conversion Escribir 'regex' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'texto' 1 ""","""Algoritmo conversion Escribir 'texto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'doble' 1 ""","""Algoritmo conversion Escribir 'doble' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'FALSO' 1 ""","""Algoritmo conversion Escribir 'FALSO' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'local' 1 ""","""Algoritmo conversion Escribir 'local' FinAlgoritmo"""
"""1 1 1 0 0 4 1 7 'tarea' 1 ""","""Algoritmo conversion Escribir 'tarea' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'result' 1 ""","""Algoritmo conversion Escribir 'result' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'output' 1 ""","""Algoritmo conversion Escribir 'output' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'buffer' 1 ""","""Algoritmo conversion Escribir 'buffer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'length' 1 ""","""Algoritmo conversion Escribir 'length' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'height' 1 ""","""Algoritmo conversion Escribir 'height' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'radius' 1 ""","""Algoritmo conversion Escribir 'radius' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'volume' 1 ""","""Algoritmo conversion Escribir 'volume' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'weight' 1 ""","""Algoritmo conversion Escribir 'weight' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'amount' 1 ""","""Algoritmo conversion Escribir 'amount' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'offset' 1 ""","""Algoritmo conversion Escribir 'offset' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'median' 1 ""","""Algoritmo conversion Escribir 'median' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'factor' 1 ""","""Algoritmo conversion Escribir 'factor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'column' 1 ""","""Algoritmo conversion Escribir 'column' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'matrix' 1 ""","""Algoritmo conversion Escribir 'matrix' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'vertex' 1 ""","""Algoritmo conversion Escribir 'vertex' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'branch' 1 ""","""Algoritmo conversion Escribir 'branch' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'parent' 1 ""","""Algoritmo conversion Escribir 'parent' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'object' 1 ""","""Algoritmo conversion Escribir 'object' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'method' 1 ""","""Algoritmo conversion Escribir 'method' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'status' 1 ""","""Algoritmo conversion Escribir 'status' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'option' 1 ""","""Algoritmo conversion Escribir 'option' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'module' 1 ""","""Algoritmo conversion Escribir 'module' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'header' 1 ""","""Algoritmo conversion Escribir 'header' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'filter' 1 ""","""Algoritmo conversion Escribir 'filter' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'subset' 1 ""","""Algoritmo conversion Escribir 'subset' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'record' 1 ""","""Algoritmo conversion Escribir 'record' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'stream' 1 ""","""Algoritmo conversion Escribir 'stream' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'buffer' 1 ""","""Algoritmo conversion Escribir 'buffer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'memory' 1 ""","""Algoritmo conversion Escribir 'memory' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'folder' 1 ""","""Algoritmo conversion Escribir 'folder' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'domain' 1 ""","""Algoritmo conversion Escribir 'domain' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'socket' 1 ""","""Algoritmo conversion Escribir 'socket' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'secret' 1 ""","""Algoritmo conversion Escribir 'secret' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'cipher' 1 ""","""Algoritmo conversion Escribir 'cipher' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'string' 1 ""","""Algoritmo conversion Escribir 'string' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'double' 1 ""","""Algoritmo conversion Escribir 'double' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'global' 1 ""","""Algoritmo conversion Escribir 'global' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'static' 1 ""","""Algoritmo conversion Escribir 'static' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'thread' 1 ""","""Algoritmo conversion Escribir 'thread' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'indice' 1 ""","""Algoritmo conversion Escribir 'indice' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'salida' 1 ""","""Algoritmo conversion Escribir 'salida' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'correo' 1 ""","""Algoritmo conversion Escribir 'correo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'buffer' 1 ""","""Algoritmo conversion Escribir 'buffer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'tamaño' 1 ""","""Algoritmo conversion Escribir 'tamaño' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'tiempo' 1 ""","""Algoritmo conversion Escribir 'tiempo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'precio' 1 ""","""Algoritmo conversion Escribir 'precio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'limite' 1 ""","""Algoritmo conversion Escribir 'limite' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'umbral' 1 ""","""Algoritmo conversion Escribir 'umbral' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'factor' 1 ""","""Algoritmo conversion Escribir 'factor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'matriz' 1 ""","""Algoritmo conversion Escribir 'matriz' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'arista' 1 ""","""Algoritmo conversion Escribir 'arista' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'objeto' 1 ""","""Algoritmo conversion Escribir 'objeto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'metodo' 1 ""","""Algoritmo conversion Escribir 'metodo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'evento' 1 ""","""Algoritmo conversion Escribir 'evento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'estado' 1 ""","""Algoritmo conversion Escribir 'estado' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'opcion' 1 ""","""Algoritmo conversion Escribir 'opcion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'ajuste' 1 ""","""Algoritmo conversion Escribir 'ajuste' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'modulo' 1 ""","""Algoritmo conversion Escribir 'modulo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'cuerpo' 1 ""","""Algoritmo conversion Escribir 'cuerpo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'filtro' 1 ""","""Algoritmo conversion Escribir 'filtro' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'buffer' 1 ""","""Algoritmo conversion Escribir 'buffer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'puerto' 1 ""","""Algoritmo conversion Escribir 'puerto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'socket' 1 ""","""Algoritmo conversion Escribir 'socket' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'sesion' 1 ""","""Algoritmo conversion Escribir 'sesion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'patron' 1 ""","""Algoritmo conversion Escribir 'patron' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'cadena' 1 ""","""Algoritmo conversion Escribir 'cadena' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'entero' 1 ""","""Algoritmo conversion Escribir 'entero' FinAlgoritmo"""
"""1 1 1 0 0 4 1 8 'global' 1 ""","""Algoritmo conversion Escribir 'global' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'balance' 1 ""","""Algoritmo conversion Escribir 'balance' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'average' 1 ""","""Algoritmo conversion Escribir 'average' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'divisor' 1 ""","""Algoritmo conversion Escribir 'divisor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'product' 1 ""","""Algoritmo conversion Escribir 'product' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'sibling' 1 ""","""Algoritmo conversion Escribir 'sibling' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'pointer' 1 ""","""Algoritmo conversion Escribir 'pointer' FinAlgoritmo"""
